report_id,machine_id,ing_1_id,ing_2_id,ing_3_id,result,unit_id
4,18,,3,,0.678,
411,2,,,,47,
411,1,,,,350,
411,7,,,,8.3,
411,5,7,,,234.56,
411,4,,,,125.4,
411,3,,,,1.8,
411,14,0,,,500,
411,19,,,,7320.44,
411,19,,,,2939.28,
413,1,7,3,5,450.5,
413,4,0,2,,250.1,
413,10,7,4,,8.75,
413,12,7,1,5,5.8,
413,17,0,5,,0.25,
413,14,0,3,,200,
413,8,7,5,,1200,
413,3,0,,,0.5,
413,16,7,4,,25,
413,9,7,1,,1.2,
422,1,0,4,,550.75,
422,6,7,4,,1250,
422,9,0,2,4,1.2,
422,2,0,3,,37.5,
422,14,7,4,,450,
422,7,6,,,7.2,
422,12,6,,,13.5,
427,7,7,3,4,7.2,
427,7,0,5,,6.8,
427,14,6,3,5,250,
427,14,6,4,,300,
427,15,7,1,,0.005,
427,16,7,1,5,28,
427,6,7,1,4,1500,
427,5,7,4,,35,
427,1,0,3,5,450,
427,4,7,5,,5.5,
427,19,7,5,,7744.27,
427,19,0,1,4,3138.2,
427,19,7,1,5,7378.83,
457,8,7,,,1200,
457,2,7,,,37,
457,0,0,3,5,8000,
457,18,7,3,4,0.75,
458,9,7,2,,2.5,
458,16,7,2,4,15.2,
458,17,6,3,,0.089,
458,11,6,3,4,1450,
458,5,0,,,50.7,
458,9,0,,,3.1,
46,1,7,,,800,
46,19,7,,,7168.93,
46,19,0,,,2950.75,
479,5,,,,250.00 ug/mL,
479,5,,,,102.50 ug/mL,
479,19,,,,2090.92 cP,
479,17,,,,75.00 mM,
479,11,,,,1700 cm⁻¹,
490,3,,,,1.8 OD,
490,13,,,,145°C,
490,1,,,,820 nm,
490,17,,,,25 mM,
490,12,,,,12 ppm,
490,11,,,,3500 1/cm,
490,3,,,,2.3 OD,
490,13,,,,90°C,
507,0,7,1,,8000,
507,0,6,3,5,12000,
507,6,7,2,5,150,
507,6,6,2,5,350,
507,14,7,3,4,500,
507,14,7,3,,250,
507,10,7,1,,0.5,
507,10,6,3,5,0.8,
507,12,7,2,5,5,
507,12,6,2,5,8,
507,18,7,3,4,0.75,
507,18,7,3,,0.65,
507,19,6,3,,5130.62,
507,19,0,3,5,2705.57,
508,4,7,3,5,25.6,
508,17,7,5,,50.2,
508,4,0,2,5,300.8,
508,18,6,1,,0.45,
508,18,0,1,4,0.75,
508,13,6,4,,120,
508,10,6,2,5,850.3,
533,11,6,2,,1600,
533,17,7,3,5,50,
533,4,6,5,,300,
533,7,6,2,5,7.5,
533,8,0,1,4,1200,
54,4,6,1,,845.2,
54,13,7,2,4,145,
54,7,0,2,,7.5,
54,2,7,1,4,37,
54,15,0,1,,0.003,
54,8,6,1,5,1500,
54,12,7,4,,12.5,
54,19,6,3,,5141.64,
54,19,0,4,,2700.23,
566,14,6,2,,320,
566,0,,,,,
566,19,6,2,4,5246.93,
566,19,6,1,,4813.86,
57,5,7,,,125.5 ug/mL,
57,5,0,3,4,210.75 ug/mL,
57,5,0,2,5,300.9 ug/mL,
57,9,0,2,5,2.8 Abs,
57,9,7,,,3.1 Abs,
57,9,6,1,5,1.2 Abs,
57,15,0,3,4,0.007 M,
57,15,7,2,4,0.009 M,
57,6,6,1,5,845 m/z,
57,6,7,3,,980 m/z,
57,6,0,2,5,1050 m/z,
583,9,6,1,5,1.8,
583,7,7,,,8.5,
583,3,6,3,4,2.4,
583,8,6,1,4,1250,
583,16,7,3,4,20,
625,13,6,2,4,145,
625,17,7,4,,12.5,
625,13,6,1,5,165,
625,17,7,1,,9,
625,14,0,3,4,350,
625,19,0,2,4,2027.34,
625,19,7,,,7412.58,
625,15,0,,,2.5,
625,11,6,5,,2500,
625,18,7,3,5,0.75,
63,15,6,1,5,Concentration,
63,16,7,2,,Cycle Threshold,
63,3,7,2,5,Optical Density,
63,11,7,1,5,Wavenumber,
63,12,7,1,,Chemical Shift,
646,11,6,1,,1500 1/cm,
646,1,6,1,5,650 nm,
646,3,6,1,,1.2 OD,
646,8,7,5,,800 uS/cm,
646,4,7,1,4,200 ppm,
646,17,7,5,,10 mM,
646,5,7,3,,250 ug/mL,
646,14,0,3,4,500 Pa-s,
646,19,6,3,5,5132.32 cP,
646,19,7,,,7508.02 cP,
646,19,0,1,5,3019.16 cP,
658,18,6,1,,Wear Scar Diameter,
658,16,7,5,,Threshold Cycle,
658,7,0,1,,pH Value,
661,14,6,3,4,853.4,
661,3,0,3,5,2.3,
67,17,7,1,4,25.678,
67,8,7,4,,1500.35,
67,4,7,1,5,89.5,
67,18,6,5,,0.789,
67,16,6,3,5,35.2,
67,1,0,3,5,650.45,
67,7,6,1,5,7.2,
67,3,6,2,4,3.56,
67,13,7,1,4,50,
67,10,6,3,5,650.25,
67,19,,,,5175,
67,19,,,,7737.43,
690,19,7,3,,Viscosity,
690,19,0,,,Viscosity,
692,4,,,,500,
692,5,,,,250,
692,13,,,,120,
692,7,,,,7,
692,12,,,,15,
692,8,,,,1500,
692,17,,,,50,
692,2,,,,37,
692,16,,,,28,
692,1,,,,850,
692,19,,,,2062.71,
692,19,,,,7835.67,
692,19,,,,7323.88,
712,8,0,2,5,1500,
712,13,7,,,120,
712,0,0,5,,5000,
712,16,6,2,4,25,
712,19,6,3,5,5137.78,
712,19,6,1,,4746.57,
758,14,0,3,4,2.5 Pa-s,
758,19,6,3,5,4977.89 cP,
758,19,6,5,,4900.09 cP,
758,19,7,1,,7151.28 cP,
758,9,0,1,,1.2 Abs,
758,13,7,3,5,160°C,
758,0,6,2,4,12000 RPM,
762,9,6,2,5,3.2,
762,9,6,1,4,2.8,
762,0,0,5,,12000,
762,0,7,3,5,14000,
762,8,0,3,4,1500,
762,8,7,4,,1800,
762,6,6,1,,800,
762,18,0,1,,0.3,
762,11,7,1,5,3500,
768,11,0,1,,1600,
768,12,7,1,4,10.5,
777,9,7,,,2.5,
777,9,6,,,1.75,
777,9,,,,1.2,
778,8,7,2,4,1340,
778,19,7,2,5,7720.2,
778,18,6,4,,0.59,
778,9,0,,,2.1,
778,0,6,3,5,8000,
778,2,0,2,4,37,
778,6,0,2,5,650,
778,10,7,1,4,110,
778,16,7,2,4,25,
780,6,7,1,,1500,
780,6,6,2,,1750,
813,8,,,,1500 µS/cm,
813,3,,,,2.5 OD,
813,5,,,,250 µg/mL,
813,15,,,,5 M,
817,1,0,,,300,
817,19,0,,,1983.03,
826,17,0,1,,24.56,
826,10,7,3,4,350.75,
826,4,7,4,,95.8,
826,5,7,3,4,250.4,
826,8,6,1,,1500,
826,1,0,,,550,
826,11,7,3,5,1802,
826,0,0,1,,12000,
826,19,6,2,4,5094.54,
826,19,0,2,,1861.87,
826,19,6,3,5,5212.75,
827,7,6,5,,7.5,
827,17,6,,,0.005,
827,6,6,2,5,850,
827,13,6,1,,110,
827,14,0,4,,400,
84,4,6,3,4,550,
84,6,0,3,5,1250,
84,0,7,,,12000,
84,15,0,4,,6.5,
84,17,0,2,5,75,
84,18,6,,,0.8,
84,12,6,3,4,10,
84,14,0,,,500,
84,19,6,4,,4925.02,
84,19,7,1,,7165.85,
84,19,6,3,4,5014.46,
849,3,6,5,,2.5,
849,8,7,2,4,750,
853,12,7,5,,15,
853,0,7,1,5,12000,
853,16,0,3,4,25,
853,8,0,2,4,800,
853,15,0,,,0.005,
853,13,7,5,,70,
853,4,7,1,5,250,
853,6,0,3,4,650,
853,3,0,2,4,2.5,
853,19,6,1,,4959.28,
853,19,0,2,5,1830.94,
866,3,0,2,,2.8,
866,7,7,3,,5.5,
866,4,7,1,,320,
891,6,7,1,,1750,
891,12,0,3,5,15,
891,14,6,3,5,500,
891,15,7,3,5,0.005,
891,3,0,1,,2.5,
908,18,6,3,4,0.425,
908,6,0,,,1125,
908,5,7,5,,250,
908,2,6,1,5,37,
908,3,7,1,4,2.5,
908,7,6,,,6.5,
908,10,7,4,,150,
908,15,0,2,5,0.007,
908,8,7,,,750,
908,19,7,1,,7171.08,
908,19,7,,,7704.28,
948,18,7,2,,0.55,
948,18,7,3,,0.75,
948,4,0,1,,750,
948,7,7,3,,8.5,
948,5,0,2,,50,
948,8,6,3,5,1800,
948,11,0,4,,3420,
948,0,0,3,,12000,
948,19,7,2,4,7709.11,
948,19,6,1,4,4788.7,
949,5,0,1,4,250,
949,7,6,1,4,6.75,
949,17,6,3,4,55,
949,4,0,1,5,750,
949,15,7,2,5,0.005,
949,19,7,3,4,7386.29,
949,19,7,2,4,7727.96,
950,13,,,,120,
950,3,,,,1.5,
950,7,0,,,7,
950,0,,,,450,
950,10,,,,250,
950,18,,,,0.75,
978,16,0,1,4,26.5,
978,4,6,1,5,150.3,
978,18,6,2,5,0.735,
978,12,0,3,5,10.2,
978,5,0,4,,255.6,
978,10,7,2,5,450.88,
978,6,0,1,4,1200,
978,19,0,2,5,1875.54,
978,19,0,2,5,1825.3,
978,19,6,4,,5002.9,
978,1,6,1,5,540,
993,16,0,2,4,28,
993,6,7,3,5,1520,
993,4,7,1,,450,
993,12,6,2,5,19,
993,2,7,2,,37,
993,0,7,1,4,8000,
993,19,6,1,4,4792.39,
